_id	language	name
1	nl	Eerste Spel
2	nl	Veel Geld
3	nl	Interactie
4	nl	Vertekend Beeld
5	nl	Dorpsplein
6	nl	Overwinningsdans
7	nl	Geheime Plannen
8	nl	Beste Wensen
9	nl	Destructie
10	nl	Handwerkgekte
11	nl	Onderdanen
12	nl	Op Volle Zee
13	nl	Verborgen Schatten
14	nl	Scheepswrakken
15	nl	Pad Naar De Sterren
16	nl	Herhalingen
17	nl	Geven En Nemen
18	nl	Verboden Kunst
19	nl	Toverdrankenmengers
20	nl	Scheikundeles
21	nl	Dienaren
22	nl	Geheim Onderzoek
23	nl	Gekke Trekken
24	nl	Beginners
25	nl	Vriendschappelijke Interactie
26	nl	Grote Acties
27	nl	Ontzettend Veel Geld
28	nl	Het Leger Van De Koning
29	nl	Een Goed Leven
30	nl	Pad Naar De Zege
31	nl	All Along the Watchtower
32	nl	Geluksvogels
33	nl	Opbrengst Van De Jacht
34	nl	Slechte Omens
35	nl	Het Werkterrein Van De Nar
36	nl	Wie Het Laatst Lacht...
37	nl	De Specerijen Van Het Leven
38	nl	Kleine Zeges
39	nl	Introductie
40	nl	Eerlijke Handel
41	nl	Goede Deals
42	nl	Gambiet
43	nl	Hoofdwegoverval
44	nl	Buitenlandse Avonturen
45	nl	Money for Nothing
46	nl	Bal Van De Hertog
47	nl	Reizigers
48	nl	Diplomatie
49	nl	Plannen En Dromen
50	nl	Wijnland
51	nl	Direct Resultaat
52	nl	Verborgen Rijkdom
53	nl	Blauwe Oogst
54	nl	Rondreizend Circus
55	nl	Grimmig Defilé
56	nl	Schaken Met De Dood
57	nl	Hoog En Laag
58	nl	Ridderlijk En Vrolijk
59	nl	Profetie
60	nl	Invasie
61	nl	Waterige Graven
62	nl	Provincialen
63	nl	Plagen
64	nl	Gejammer
65	nl	Eenmans Rommel
66	nl	Eergevoel Onder Dieven
67	nl	Duister Carnaval
68	nl	Naar De Winnaar
69	nl	Ver Van Huis
70	nl	Expedities
71	nl	Kunst En Ambacht
72	nl	Gezond Leven
73	nl	Overdreven Decoratie
74	nl	Noem Die Kaart
75	nl	De Kneepjes Van Het Handelsvak
76	nl	Keuzes, Keuzes
77	nl	Rustige Introductie
78	nl	Introductie Voor Gevorderden
79	nl	Nivelleren
80	nl	Vertekend Beeld
81	nl	Royaltyfabriek
82	nl	Meesters Der Financiën
83	nl	Prins Van Oranje
84	nl	Geven En Nemen
85	nl	Laatste Wens En Monument
86	nl	Denk Groot
87	nl	De Terugkeer Van De Held
88	nl	Zeevaart En Hekserij
89	nl	Kooplieden En Overvallers
90	nl	Reizen
91	nl	Grafpolka
92	nl	Verloedering
93	nl	Verkwisting
94	nl	De Getinte Koningin
